,,4-19-10 KN,4-19-10 SU,4-19-11 SU,4-19-11 KN,4-20-15 KN,4-20-15 WC,4-20-16 WC,4-20-16 KN,4-21-10 SS,4-21-10 MS,4-21-14 MS,4-21-14 SS,4-21-15 SC,4-21-15 MS,4-24-9 MS,4-24-9 SC,5-2-13 SC,5-2-13 WC,5-2-14 WC,5-2-14 SC,4-12-15 KN,4-12-15 SU,4-14-14 KN,4-14-14 WC,4-25-10 SU,4-25-10 KN,4-25-16 WC,4-25-16 KN,4-26-15 SS,4-26-15 MS,5-2-10 MS,5-2-10 SS,5-2-15 SC,5-2-15 MS,5-3-10 MS,5-3-10 SC,5-10-10 SC,5-10-10 WC,5-11-15 WC,5-11-15 SC,5-9-10 KN,5-9-10 SU,5-12-10 SU,5-12-10 KN,6-6-12 KN,6-6-12 WC,6-6-14 WC,6-6-14 KN,6-8-9 SS,6-8-9 MS,6-9-10 MS,6-9-10 SS,6-14-15 SC,6-14-15 MS,6-22-10 MS,6-22-10 SC,6-22-12 SC,6-22-12 WC,6-22-14 WC,6-22-14 SC,Total,,,Percentage,,Non-CS,CS,CP
1.1.1,Backtracking remember (no)goods,1,,,1,,1,,,,,,,,,,,,1,1,,,,,,,1,1,1,,1,1,,,1,,,,1,,,1,,,1,,1,,,,,,,,,,,,,,,15,60,,25,,5,7,3
1.1.2,Backtracking forget (no)goods,,,1,,,,1,,,1,,,,1,1,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,10,60,,16.66666667,,6,2,2
1.1.3,Backtracking same strategy,1,,1,,,1,1,,,,,,,,,,,1,1,,,,1,,,1,1,1,,1,1,,,1,,,,1,,,1,,,1,1,1,,,,,,,,,,,,1,,,19,60,,31.66666667,,6,8,5
1.1.4,Backtracking different strategy,1,,,1,,,,,,1,,,,1,1,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,10,60,,16.66666667,,6,2,2
,Total Backtrack,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,25,60,,41.66666667,,10,9,6
1.2.1,Restart remember (no)goods,,,,,1,1,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,8,60,,13.33333333,,5,2,1
1.2.2,Restart forget (no)goods,1,,1,1,,1,1,,,1,,1,,1,1,,,,,,,,,1,,,1,,,1,,1,,,1,,,,1,,,,,,,,,,,1,,,,1,,,,,,,17,60,,28.33333333,,9,6,2
1.2.3,Restart same strategy,,,1,,1,1,1,,,,,,,,1,,,1,1,,,,,1,,,1,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,13,60,,21.66666667,,7,5,1
1.2.4,Restart different strategy,1,,,1,,1,,,,1,,1,,1,,,,,,,,,,1,,,1,,,1,,1, ,,1,,,,1,,,,,,,,,,,1,,,,1,,,,,,,14,60,,23.33333333,,6,6,2
,Total Restart,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,21,60,,35,,12,7,2
1.3,Random Partial Assignment,,,1,,,1,1,,,,,,,1,1,,,1,1,,,,,1,,,,,,1,,,,,1,,,1,1,,,,,,,1,,,,,,,,,,,,1,1,,15,60,,25,,7,5,3
1.4,Determine (no)goods,,,,,,1,,,,,,,,,,,,1,1,,,,,1,,,1,,,,,,,,,,,1,1,,,,,,,1,1,,,,,,,,,,,1,1,,11,60,,18.33333333,,3,4,4
1.5,Propagation,,1,,,,1,,,,,,,,,,,,,1,,,1,,,1,,1,,,,,,,,,,,1,,,,1,1,,,1,1,,,,,,,,,,,1,1,,13,60,,21.66666667,,3,4,6
,Knapsack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1,Sort by value,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,4,12,,33.33333333,,2,1,1
2.2,Sort by weight,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,,8.333333333,,1,0,0
2.3,Sort by value/weight ratio,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,6,12,,50,,2,1,3
2.4,Sort by weight/value ratio,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12,,33.33333333,,1,3,0
2.5,Sort by weight value product,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,,8.333333333,,0,1,0
,Sudoku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1,BCR Elimination,,1,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,6,6,,100,,2,2,2
3.2,BCR only possible value,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4,6,,66.66666667,,1,2,1
