Artifact Id,Paper Id
6/22//10:1:2,"CP 8,1"
6/22//10:1:3,"CP 8,1"
6/22//10:1:4,"CP 8,1"
6/22//10:2:1,"CP 8,2"
6/22//10:2:2,"CP 8,2"
6/22//10:2:3,"CP 8,2"
6/22//10:2:4,"CP 8,2"
6/22//10:2:5,"CP 8,2"
6/22//12:1:1,"CP 9,1"
6/22//12:1:2,"CP 9,1"
6/22//12:1:3,"CP 9,1"
6/22//12:2:1,"CP 9,2"
6/22//12:2:2,"CP 9,2"
6/22//12:2:3,"CP 9,2"
